aX,aY,aZ,gX,gY,gZ
1.700,-0.874,1.015,24.841,-51.331,22.461
1.857,-0.918,0.955,17.883,-51.697,-3.540
2.096,-0.856,0.899,-3.540,-44.800,-59.082
2.115,-0.775,1.003,-20.508,-31.128,-96.252
2.002,-0.717,1.171,-18.311,-15.076,-115.295
1.839,-0.649,1.306,-4.395,8.789,-125.122
1.712,-0.521,1.372,14.648,39.673,-126.221
1.606,-0.536,1.323,35.461,65.430,-116.577
1.452,-0.565,1.184,48.462,86.426,-127.380
1.178,-0.559,1.135,54.871,80.688,-155.579
0.788,-0.568,1.104,42.297,41.138,-186.096
0.429,-0.548,0.925,14.465,32.898,-208.435
-0.105,-0.531,0.901,4.456,18.616,-227.783
-0.573,-0.567,0.832,-13.245,19.043,-234.436
-0.945,-0.535,0.717,-29.236,31.921,-236.023
-1.288,-0.484,0.462,-13.123,38.757,-231.812
-1.531,-0.352,0.210,32.227,27.039,-216.553
-1.666,-0.363,-0.017,57.617,16.357,-198.975
-1.631,-0.379,-0.220,83.923,2.075,-187.256
-1.568,-0.348,-0.262,102.661,-16.174,-186.218
-1.509,-0.362,-0.173,87.524,-26.367,-191.101
-1.404,-0.346,0.063,58.350,-35.339,-203.186
-1.327,-0.292,0.438,34.302,-36.499,-208.313
-1.331,-0.296,0.858,20.447,-26.672,-190.186
-1.370,-0.349,1.243,22.217,-13.123,-148.743
-1.395,-0.497,1.401,34.058,1.404,-96.069
-1.340,-0.629,1.311,36.499,23.987,-58.289
-1.134,-0.569,1.117,24.536,42.786,-36.987
-0.971,-0.467,0.966,9.033,53.894,-28.687
-0.902,-0.388,0.860,-8.850,59.448,-22.583
-0.841,-0.332,0.751,-19.897,56.702,-15.442
-0.731,-0.287,0.638,-18.738,46.570,-2.747
-0.674,-0.262,0.598,-9.521,29.297,8.484
-0.625,-0.271,0.599,-7.263,16.296,15.808
-0.592,-0.285,0.624,-10.193,8.118,15.503
-0.536,-0.221,0.669,-18.311,2.563,2.319
-0.528,-0.193,0.759,-19.531,-2.686,-8.057
-0.547,-0.170,0.889,-5.371,-2.625,-6.409
-0.525,-0.143,0.923,7.446,-5.066,5.554
-0.477,-0.129,0.890,14.099,-3.662,15.747
-0.406,-0.128,0.836,14.526,-7.935,18.494
-0.376,-0.135,0.820,12.268,-7.812,16.479
-0.382,-0.151,0.867,13.489,-5.371,19.592
-0.382,-0.175,0.901,14.221,-5.066,24.475
-0.376,-0.204,0.910,12.268,-3.540,29.480
-0.372,-0.238,0.896,8.118,0.244,34.180
-0.352,-0.256,0.870,2.014,4.028,39.001
-0.319,-0.240,0.837,-5.615,1.404,42.847
-0.288,-0.225,0.812,-13.000,-2.686,44.800
-0.277,-0.202,0.833,-16.357,-6.165,46.814
-0.280,-0.198,0.873,-17.761,-8.545,49.927
-0.292,-0.194,0.908,-19.653,-10.071,51.270
-0.299,-0.180,0.938,-23.071,-9.399,51.086
-0.284,-0.156,0.960,-23.560,-7.874,51.758
-0.264,-0.160,0.944,-19.348,-8.728,52.917
-0.233,-0.135,0.937,-15.381,-9.460,46.204
-0.232,-0.139,0.931,-9.583,-12.878,45.715
-0.210,-0.135,0.923,-1.587,-15.808,47.363
-0.230,-0.189,0.927,9.033,-16.357,52.002
-0.226,-0.213,0.914,15.747,-16.785,52.368
-0.221,-0.229,0.911,18.494,-20.691,51.025
-0.212,-0.228,0.892,19.653,-27.100,49.622
-0.206,-0.226,0.870,20.081,-28.992,50.415
-0.212,-0.227,0.877,18.005,-27.283,52.124
-0.204,-0.227,0.886,13.123,-24.353,51.697
-0.201,-0.218,0.882,9.399,-20.203,49.927
-0.190,-0.200,0.868,7.507,-17.151,47.546
-0.176,-0.183,0.854,7.507,-15.076,46.448
-0.167,-0.172,0.849,6.592,-14.526,45.959
-0.164,-0.166,0.841,5.005,-16.296,44.556
-0.177,-0.169,0.862,3.113,-17.639,42.969
-0.165,-0.141,0.888,-0.793,-16.907,41.504
-0.166,-0.122,0.916,-3.174,-15.503,42.114
-0.166,-0.112,0.941,-4.700,-12.634,43.213
