aX,aY,aZ,gX,gY,gZ
-0.190,0.074,3.318,154.236,-177.246,24.414
-0.236,0.021,3.565,166.870,-181.091,33.020
-0.282,-0.055,3.885,170.288,-157.959,32.532
-0.248,0.034,3.935,146.179,-111.206,3.601
-0.159,0.122,3.582,108.215,-45.532,-27.954
-0.096,0.042,3.090,74.707,21.301,-56.580
-0.052,0.020,2.612,51.819,64.392,-86.670
-0.056,-0.045,2.183,52.979,96.436,-93.140
-0.065,-0.098,1.863,70.435,118.469,-93.628
-0.060,-0.197,1.535,80.872,129.944,-90.820
0.024,-0.244,1.121,68.787,135.498,-88.379
0.027,-0.295,0.549,56.580,121.155,-63.843
-0.069,-0.462,-0.100,62.744,91.919,-39.795
0.001,-0.368,-0.510,104.126,30.701,-32.532
-0.000,-0.261,-0.560,165.710,-80.505,-12.390
0.067,-0.135,-0.463,215.637,-124.329,-29.114
0.079,-0.155,-0.345,220.642,-138.000,-59.875
0.059,-0.221,-0.338,188.110,-125.732,-81.055
-0.059,-0.356,-0.338,146.179,-142.212,-79.956
-0.147,-0.407,-0.326,106.323,-168.152,-72.449
-0.186,-0.419,-0.409,84.106,-162.659,-55.786
-0.227,-0.408,-0.545,78.613,-137.817,-37.781
-0.242,-0.290,-0.729,73.608,-91.370,-27.893
-0.286,-0.185,-0.822,61.646,-30.334,-14.038
-0.298,-0.094,-0.817,56.519,2.197,2.502
-0.267,-0.017,-0.768,53.711,16.052,13.916
-0.221,0.068,-0.594,47.852,23.132,19.226
-0.155,0.124,-0.406,47.913,32.288,26.245
-0.086,0.146,-0.269,46.936,48.035,33.264
-0.013,0.147,-0.171,46.326,58.411,34.180
0.010,0.131,-0.088,40.100,71.167,31.860
0.029,0.150,-0.006,18.860,75.134,32.654
0.086,0.209,0.056,-4.883,57.922,39.612
0.155,0.344,0.121,-35.400,47.546,41.138
0.197,0.409,0.201,-65.552,43.457,40.955
0.191,0.416,0.323,-80.994,33.386,38.269
0.163,0.378,0.435,-87.646,26.855,32.959
0.134,0.315,0.529,-84.351,23.987,30.579
0.097,0.221,0.566,-75.256,19.897,33.691
0.115,0.147,0.486,-78.003,27.893,31.250
0.020,0.185,0.503,-102.539,41.016,17.822
-0.060,0.229,0.588,-115.662,39.612,20.081
-0.071,0.317,0.651,-119.873,33.569,24.414
-0.065,0.399,0.715,-121.948,23.010,25.330
-0.046,0.456,0.793,-117.432,14.832,27.222
-0.022,0.410,0.849,-106.689,11.719,26.672
-0.008,0.366,0.939,-91.125,7.874,21.851
-0.055,0.285,0.999,-76.965,3.296,17.822
-0.083,0.229,1.059,-73.059,6.226,8.423
-0.122,0.221,1.060,-75.195,3.845,-1.343
-0.096,0.271,1.105,-65.674,0.610,-1.526
-0.109,0.225,1.161,-53.772,0.610,3.418
-0.101,0.230,1.259,-46.143,2.502,3.662
-0.074,0.232,1.321,-44.678,1.465,6.409
-0.058,0.196,1.382,-43.030,0.549,11.841
-0.069,0.172,1.423,-38.513,1.282,11.353
-0.091,0.184,1.400,-39.917,2.258,7.446
-0.119,0.159,1.318,-44.434,7.751,7.935
-0.152,0.142,1.239,-48.889,11.597,8.240
-0.184,0.133,1.149,-53.650,11.719,11.108
-0.182,0.136,1.079,-51.147,10.010,12.329
-0.183,0.110,1.077,-41.260,8.423,15.381
-0.169,0.064,1.096,-34.546,8.545,18.372
-0.148,0.032,1.092,-35.645,10.193,20.813
-0.119,0.020,1.058,-38.208,13.000,23.987
-0.102,0.010,1.043,-40.588,16.113,26.794
-0.097,0.019,1.009,-45.776,19.409,28.137
-0.109,0.058,0.952,-53.589,25.574,27.954
-0.114,0.099,0.858,-61.279,25.024,23.376
-0.142,0.087,0.794,-58.350,18.677,17.456
-0.180,0.070,0.827,-44.434,8.972,9.094
-0.179,0.017,0.889,-31.128,1.953,8.423
-0.188,-0.034,0.986,-20.142,0.427,10.193
-0.174,-0.082,1.034,-15.442,3.601,16.724
-0.141,-0.086,1.008,-19.470,8.545,20.752
-0.133,-0.042,0.957,-25.330,15.076,22.278
-0.126,0.038,0.888,-33.142,18.311,20.813
-0.162,0.068,0.827,-35.645,19.531,20.264
-0.182,0.056,0.826,-28.381,20.386,18.494
-0.192,0.031,0.871,-17.822,15.137,16.357
-0.192,0.016,0.931,-8.667,7.935,16.418
-0.176,-0.007,0.999,-4.517,5.310,16.479
-0.176,-0.015,1.045,-5.371,3.784,11.536
-0.177,0.017,1.089,-11.230,-0.793,3.113
-0.180,0.016,1.107,-16.235,-7.080,-1.038
-0.181,0.009,1.088,-19.836,-12.512,-6.042
-0.198,0.020,1.084,-22.766,-13.855,-8.240
-0.168,0.023,1.086,-23.743,-34.485,0.244
-0.124,0.069,1.029,-17.212,-21.545,-2.502
-0.138,0.059,0.991,-13.611,-2.869,-7.446
-0.144,0.060,0.996,-3.418,-2.869,-9.583
-0.134,0.040,0.990,9.338,-3.601,-9.399
-0.140,0.028,1.004,22.644,-0.916,-10.681
-0.153,0.028,0.998,28.625,-2.625,-10.620
-0.168,0.021,0.963,29.480,-2.014,-10.315
-0.185,0.009,0.933,25.635,-1.892,-9.949
-0.198,-0.004,0.901,18.555,-3.113,-7.324
-0.201,-0.018,0.887,10.437,-1.831,-2.319
-0.189,-0.033,0.901,1.953,2.930,3.479
-0.167,-0.025,0.923,-10.254,8.240,7.568
-0.151,-0.010,0.942,-21.179,13.062,9.399
-0.141,0.012,0.960,-27.893,15.869,8.972
-0.138,0.020,0.955,-28.687,16.663,7.385
-0.150,0.027,0.938,-22.461,14.771,3.357
-0.167,0.014,0.929,-13.306,11.047,-0.366
-0.176,-0.011,0.934,-3.113,6.409,-3.601
-0.181,-0.034,0.940,3.723,2.319,-5.615
-0.194,-0.039,0.947,5.981,0.427,-6.104
-0.202,-0.047,0.927,6.958,1.038,-4.883
-0.218,-0.048,0.916,3.845,0.488,-4.272
-0.233,-0.047,0.924,1.343,0.488,-2.319
-0.235,-0.045,0.927,0.793,-0.916,-0.732
-0.232,-0.029,0.927,0.854,0.000,1.587
